tensor(0.6908, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6877, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6985, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6854, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6941, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7023, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6897, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6903, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6900, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6866, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6812, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6857, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6926, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6747, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6677, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6733, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6583, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6712, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6436, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6930, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6554, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6710, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6511, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6153, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6487, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6460, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6151, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6011, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6382, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6299, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6644, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6293, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6311, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5750, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5832, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5579, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6404, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6251, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6191, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6110, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6050, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6285, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6529, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6246, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5914, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6772, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6461, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7733, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6351, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6353, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5951, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6234, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6173, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6764, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6004, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6240, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6593, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6797, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6431, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6600, device='cuda:0', grad_fn=<AddBackward0>)
