tensor(0.6972, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6895, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6888, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6922, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6902, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6908, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6860, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6893, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6854, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6892, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6888, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6906, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6957, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6867, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6899, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6920, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6937, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6961, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6933, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6913, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6933, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6918, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6915, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6934, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6914, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6951, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6904, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6929, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6937, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6930, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6945, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6910, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6915, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6937, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6925, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6936, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6929, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6906, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6921, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6926, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6926, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6932, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6944, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6914, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6915, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6924, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6933, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6931, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6933, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6911, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6915, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6908, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6919, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6904, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6930, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6915, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6925, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6916, device='cuda:0', grad_fn=<AddBackward0>)
