tensor(2.4090, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3135, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3130, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9683, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0884, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0297, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3887, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0806, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4478, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1481, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1544, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0908, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1252, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3356, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0842, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0119, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9300, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9780, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8624, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9958, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9998, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1370, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9849, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9247, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9826, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9542, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0341, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8588, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8548, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8212, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8969, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9404, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8544, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9415, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8306, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9036, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8686, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9978, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9140, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7996, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9219, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7593, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8218, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9247, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0205, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8239, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8923, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7921, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8219, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9628, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8898, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0628, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9364, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0030, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8181, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9437, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8359, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8746, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7929, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8608, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8944, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7241, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8585, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8561, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9691, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8321, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8915, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8870, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8630, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0234, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8955, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8487, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8467, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8473, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9445, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.0767, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8884, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8034, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9128, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7613, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8750, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9723, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8243, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8452, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8377, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9086, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8369, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8281, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8463, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7636, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8201, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9445, device='cuda:0', grad_fn=<AddBackward0>)
