tensor(5.3113, device='cuda:0', grad_fn=<AddBackward0>)
tensor(3.2076, device='cuda:0', grad_fn=<AddBackward0>)
tensor(5.6687, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.8015, device='cuda:0', grad_fn=<AddBackward0>)
tensor(3.8942, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.0450, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1624, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4263, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4880, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8931, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.5240, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2807, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8106, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3145, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1307, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.0873, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.9096, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.7043, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.9421, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5783, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.3334, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2676, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1880, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2234, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8724, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.7083, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.9459, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.0580, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8942, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6588, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8204, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8958, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.0167, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6578, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5697, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.0979, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.0603, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.9569, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6625, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8876, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4253, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5760, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8827, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6516, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6312, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.1916, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4805, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.4583, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4253, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5906, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.0483, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.7927, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.0936, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.1731, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5965, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3742, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6796, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4270, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.7691, device='cuda:0', grad_fn=<AddBackward0>)
tensor(2.2771, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4865, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4415, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.8190, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.4577, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6560, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.7741, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6776, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3244, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.5433, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.6010, device='cuda:0', grad_fn=<AddBackward0>)
tensor(1.3868, device='cuda:0', grad_fn=<AddBackward0>)
